Date,GLD,SPY,TLT,T10Y2Y,VIXCLS,DCOILWTICO,SPY_Ret,SPY_Vol_21d,SPY_Mom_21d,SPY_Mom_63d,GLD_Ret,GLD_Vol_21d,GLD_Mom_21d,GLD_Mom_63d,TLT_Ret,TLT_Vol_21d,TLT_Mom_21d,TLT_Mom_63d,Regime,Regime_0_Prob,Regime_1_Prob,Regime_2_Prob,Optimal_N_Regimes
2014-01-30,119.7699966430664,145.2089080810547,75.42098236083984,2.36,17.29,98.25,0.01060033183979936,0.12524485262090085,-0.029562891826633297,0.019075136090342948,-0.02204625255756343,0.16804012796809242,0.03143294703884947,-0.055516134776948056,-0.0028740962468200015,0.08419943568107803,0.05595902542132536,0.018277866964149236,1.0,2.1612835672647428e-13,0.9999977215432616,2.278456522505989e-06,4.0
2014-01-31,120.08999633789062,144.35812377929688,75.92586517333984,2.33,18.41,97.55,-0.005859036563259035,0.12281907937547286,-0.025913742490607516,0.016322886449667617,0.002671785119756409,0.15948560029405057,0.017711833371954366,-0.051122008102976624,0.006694195656116841,0.08537798383155489,0.05980246635906927,0.0374906994154276,1.0,4.457425143940977e-11,0.9999662961677197,3.370378770621655e-05,4.0
2014-02-03,121.31999969482422,141.10935974121094,76.85102081298828,2.31,21.44,96.44,-0.022504892367906093,0.14310461590974874,-0.04767915287223645,-0.011595478650435531,0.010242346527122859,0.15895499750075842,0.017017342306287375,-0.04622639461076827,0.012184986467211001,0.09064444105519408,0.07271614506957147,0.04963319690451984,1.0,2.0039231713211988e-07,0.9998230187098112,0.00017678089787201168,4.0
2014-02-04,120.98999786376953,142.0977783203125,76.03550720214844,2.33,19.11,97.24,0.007004628048162598,0.14663772753645354,-0.038221238280912284,0.008072791954573333,-0.002720094229185621,0.15938938523434262,0.012468601370456245,-0.04097975307758006,-0.010611617155019237,0.10264738931182456,0.056884279633664825,0.029772404163716182,1.0,2.7680435129520273e-09,0.9999664050546828,3.359217727371884e-05,4.0
2014-02-05,121.29000091552734,141.9195556640625,75.33251953125,2.38,19.95,97.4,-0.0012542254942807807,0.14379287580932923,-0.04529119581362073,-0.006593593449151225,0.0024795690309509233,0.15780685025563795,0.02078775649761866,-0.024058560453314226,-0.009245518268582997,0.11062707934542437,0.044466923802978675,0.045409312712670014,1.0,0.00016651517220579924,0.9997818977770505,5.158705074346646e-05,4.0
2014-02-06,121.23999786376953,143.7910919189453,75.00917053222656,2.4,17.23,97.84,0.013187303512370852,0.153211503367265,-0.03291181044051672,0.006336394580270799,-0.0004122602966475375,0.1559102040501026,0.026413774505925414,-0.02123197565590651,-0.004292289718111797,0.11161823460161337,0.04282236151125418,0.04486312929195546,1.0,1.4009088263010198e-05,0.9998092264913865,0.00017676442035063295,4.0
2014-02-07,122.16999816894531,145.573486328125,75.07244110107422,2.41,15.29,99.98,0.012395722053383018,0.16056042827690487,-0.021563981164168466,0.020883354845392388,0.007670738383060538,0.15740278333374966,0.03131858106656815,-0.0022866376992661808,0.0008435044461727603,0.11079978006902849,0.0376329441851917,0.040894802494450655,1.0,1.1083779356051197e-05,0.9996677801238228,0.00032113609682034083,4.0
2014-02-10,122.91999816894531,145.84085083007812,75.28328704833984,2.38,15.26,100.12,0.001836629105320009,0.1603315068418269,-0.02242870442136602,0.014616777213572574,0.0061389867499452855,0.1504597775999109,0.022118709341960585,0.0005697980927446,0.0028085665548260863,0.10461946470800992,0.028289089686430957,0.039999844013687946,1.0,1.2766676904355203e-06,0.9994281766441889,0.0005705466881199972,4.0
2014-02-11,124.36000061035156,147.43695068359375,74.84748840332031,2.4,14.51,99.96,0.010944120556285464,0.1589397662252126,0.0015964503882905934,0.020628413915253718,0.011714956580352931,0.15394530214009772,0.027598777556870013,0.0007242614445679418,-0.00578878343528888,0.10654380013501613,0.017269106413618784,0.027648131225077144,1.0,1.475197916891831e-07,0.999469450726119,0.0005304017540886094,4.0
2014-02-12,124.43000030517578,147.5098419189453,74.4608154296875,2.45,14.3,100.38,0.0004943891949311663,0.15406531423379055,-0.00871109847800855,0.01670946073998736,0.0005628794988796759,0.14903351500849893,0.03786805353774425,0.0008848182965057738,-0.0051661449419545535,0.10694120556166306,0.01666480897940059,0.020289055108643872,1.0,9.356587081613027e-07,0.9999003707806063,9.86935606855888e-05,4.0
2014-02-13,125.48999786376953,148.27139282226562,74.88259887695312,2.41,14.14,100.27,0.005162712490321741,0.15396015183002995,-0.008935286487469996,0.02554654277086832,0.008518826295861315,0.1501221510877395,0.048721327287625904,0.02107401387904173,0.005664502125469095,0.10799407237632695,0.023501718886393963,0.019933624899942215,1.0,1.2449943727739607e-06,0.9996836374545103,0.0003151175511176371,4.0
2014-02-14,127.1500015258789,149.0896759033203,74.92479705810547,2.43,13.57,100.31,0.005518819682469589,0.15525463661465286,-0.0021690199530636223,0.033452881824476144,0.01322817507664209,0.15469708202201082,0.061440859454885866,0.03416026581444154,0.0005635245275299461,0.10607427958010074,0.017253825496751363,0.028316188697105282,1.0,5.3697353465449073e-05,0.9992427688583675,0.0007035337881670848,4.0
2014-02-17,127.1500015258789,149.0896759033203,74.92479705810547,2.43,13.57,100.31,0.0,0.15451217695138428,0.0020692134250681615,0.03669549458932675,0.0,0.1530636237709832,0.051434724262023446,0.058524797024256836,0.0,0.1053966801893299,0.013011109084742456,0.046124843729094644,1.0,0.03090888693404961,0.9677256163780741,0.0013654966878766006,4.0
2014-02-18,127.4000015258789,149.2679443359375,75.09352111816406,2.4,13.87,102.54,0.0011957127918957866,0.15455366848542232,0.0032674004019255243,0.02962739671122927,0.0019661816515914587,0.15282077353001855,0.053502035924713365,0.06219775665018057,0.0022519121396851194,0.10551388788725748,0.015292321098926198,0.04674952401178811,1.0,0.027546471049242065,0.9721587913169207,0.0002947376338380124,4.0
2014-02-19,126.2699966430664,148.27947998046875,74.77721405029297,2.4,15.5,103.46,-0.006622080580436895,0.1559613612694913,-0.006298140907749938,0.017718246142677252,-0.00886973994723983,0.1515189209183243,0.0548872168949599,0.05295195606303382,-0.004212175207144231,0.10690111884322043,0.010249271189164189,0.03271025674040229,1.0,0.0031632950438314554,0.9968326957756108,4.009180558442154e-06,4.0
2014-02-20,127.5999984741211,149.154541015625,74.5943603515625,2.42,14.79,103.2,0.005901430429021692,0.15739936266584634,-0.0010849605783349592,0.02474421210367006,0.010532999654813135,0.15175597740763408,0.07055957597491624,0.059272783031000253,-0.0024453130683297353,0.10689506843067285,0.010266824180648726,0.02721956951307347,1.0,0.0034088628143795806,0.9965821700094597,8.967176160851401e-06,4.0
2014-02-21,127.58000183105469,148.98435974121094,74.9880599975586,2.4,14.68,102.53,-0.0011409728007961695,0.1546482807928911,0.006017970142905504,0.023292229788859142,-0.0001567135055292601,0.13627005635164982,0.04754085616226611,0.06476383037885847,0.005277874146793371,0.09654678324832532,0.0014291670300632386,0.028790498250063745,1.0,0.00044098285152559236,0.9995326555140556,2.6361634418121953e-05,4.0
2014-02-24,128.99000549316406,149.8107147216797,74.79823303222656,2.4,14.23,103.17,0.00554658879565717,0.13382885421476395,0.03365148997811307,0.026468107333197377,0.011051917556613278,0.1395474137301574,0.05478783651547103,0.079775711382289,-0.002531429208039393,0.0940574023690267,-0.007519060349785334,0.027954539115824906,1.0,0.0005954843485944481,0.9994024870717267,2.0285796781849413e-06,4.0
2014-02-25,129.2100067138672,149.7540283203125,75.4660873413086,2.36,13.67,102.2,-0.00037838682949009605,0.13194776579887654,0.03836893336187153,0.026079705320490643,0.001705567961347132,0.13079279967313812,0.068204428669292,0.08161734224106354,0.00892874446371339,0.09603824355951399,0.008378782545259922,0.0371328825159043,1.0,0.000367026536989789,0.9995752371651346,5.773629787520652e-05,4.0
2014-02-26,128.11000061035156,149.76206970214844,75.86678314208984,2.34,14.35,102.93,5.3697265617103085e-05,0.13120330821508303,0.0322774202043854,0.02681488522724851,-0.008513319761305871,0.13657477579027996,0.059198047480508276,0.061391912588754094,0.0053096140915460666,0.09730784400844997,0.011269787951889043,0.04234096692111966,1.0,0.00013205891932996456,0.9998386354963628,2.9305584307165815e-05,4.0
2014-02-27,128.1999969482422,150.5479736328125,76.28153228759766,2.32,14.04,102.68,0.005247683423627247,0.1252502880745068,0.04775825479111773,0.034890634000987575,0.0007024926817724708,0.13196583726725908,0.04678693288500124,0.09032144031131151,0.005466808111938004,0.09500906814907599,0.008503064280442452,0.056254716284488415,1.0,0.009939769129617974,0.9900293654649623,3.086540541985135e-05,4.0
2014-02-28,127.62000274658203,150.92880249023438,76.32376098632812,2.33,14.0,102.88,0.002529617956537278,0.1215390517787126,0.039390795542563195,0.04201071078971541,-0.004524135846074251,0.10191913093375023,0.06554234218532962,0.08189219851715768,0.0005535900691042706,0.09425044695713243,0.011969860338984617,0.052967022904137906,1.0,7.315890668973036e-18,0.9999993692711513,6.307288495322068e-07,4.0
2014-03-03,130.2899932861328,149.867431640625,76.833251953125,2.28,16.0,105.34,-0.007032261782359606,0.12254286945286744,0.038164169200141984,0.03479791770049401,0.02092141108046075,0.11921177186753049,0.08493627495451839,0.08611198966737277,0.006675391257096708,0.09423510671740826,0.011950957393947137,0.07021194700017874,1.0,3.2639007005472613e-18,0.9999998721419738,1.2785802657433481e-07,4.0
2014-03-04,128.67999267578125,151.97389221191406,75.67754364013672,2.37,14.1,103.64,0.014055492565858252,0.09301351082047175,0.0769937053830323,0.053975195643549245,-0.012357054979777349,0.12937343716191074,0.06066594955053417,0.08774293623206453,-0.015041772717017898,0.09907212615059492,-0.015269506643342257,0.05709910520916561,1.0,6.55771744127182e-19,0.9999997843396652,2.1566033442438855e-07,4.0
2014-03-05,128.88999938964844,152.1116180419922,75.83961486816406,2.37,13.89,101.75,0.0009062466458782392,0.09256132466381747,0.0704714728129443,0.043270104727969994,0.0016320075055982208,0.12788657661566885,0.06529466621508684,0.08722054889679143,0.0021416026502925067,0.0926610401301955,-0.0025763270502500157,0.054319161266619176,1.0,3.5473869346180976e-19,0.9999989843370443,1.0156629557904103e-06,4.0
